YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,116.18,3025410.0,116.18,115.56,116.9,116.63,
2017-01-04,116.5,2941631.0,116.5,116.03,116.97,116.64,
2017-01-05,116.76,2651057.0,116.76,116.22,117.46,116.53,
2017-01-06,118.53,3613676.0,118.53,116.51,118.705,116.94,
2017-01-09,117.55,3863128.0,117.55,117.55,118.39,118.27,
2017-01-10,117.85,3752587.0,117.85,116.88,118.44,117.33,
2017-01-11,118.01,2887068.0,118.01,117.13,118.12,117.54,
2017-01-12,117.63,3161529.0,117.63,116.6601,118.01,118.01,
2017-01-13,118.07,2988377.0,118.07,117.61,118.31,117.67,
2017-01-17,117.23,3360915.0,117.23,117.01,118.0775,117.42,
2017-01-18,118.06,2305900.0,118.06,117.21,118.3,117.52,
2017-01-19,117.91,2413161.0,117.91,117.31,118.75,118.33,
2017-01-20,117.82,2943181.0,117.82,117.12,118.44,118.44,
2017-01-23,117.41,2273136.0,117.41,116.98,118.25,117.89,
2017-01-24,117.96,2553983.0,117.96,117.27,118.08,117.64,
2017-01-25,117.88,4294174.0,117.88,117.715,118.659,118.27,
2017-01-26,117.97,6179200.0,117.97,117.28,118.105,117.98,
2017-01-27,118.42,3873847.0,118.42,117.12,119.11,118.65,
2017-01-30,119.11,3159974.0,119.11,117.76,119.12,118.09,
2017-01-31,118.32,4243787.0,118.32,117.37,119.23,118.98,
2017-02-01,118.0,2399581.0,118.0,117.44,118.93,118.71,
2017-02-02,117.99,2213822.0,117.99,117.13,118.13,117.58,
2017-02-03,119.19,2860415.0,119.19,117.91,119.36,118.52,
2017-02-06,119.34,3006008.0,119.34,118.86,119.59,119.03,
2017-02-07,119.72,2548850.0,119.72,119.42,120.16,119.68,
2017-02-08,119.73,1824112.0,119.73,119.31,120.0,119.62,
2017-02-09,120.66,2184755.0,120.66,119.64,120.97,119.69,
2017-02-10,121.85,3590330.0,121.85,120.74,122.0,120.785,
2017-02-13,123.62,4425520.0,123.62,122.1,123.81,122.23,
2017-02-14,123.62,3111347.0,123.62,123.14,123.96,123.5,
2017-02-15,124.28,3220467.0,124.28,123.17,124.47,123.36,
2017-02-16,124.16,4309055.0,124.16,123.3,124.44,124.3,
2017-02-17,124.56,2718803.0,124.56,123.32,124.56,123.92,
2017-02-21,124.71,2369206.0,124.71,124.2,125.0,124.8,
2017-02-22,125.04,3201035.0,125.04,123.52,125.0725,124.01,
2017-02-23,124.82,2992204.0,124.82,124.045,125.42,125.0,
2017-02-24,125.03,2524108.0,125.03,123.62,125.03,124.24,
2017-02-27,124.89,4086604.0,124.89,124.24,125.1,124.6,
2017-02-28,124.5,2902921.0,124.5,124.25,125.72,125.0,
2017-03-01,127.25,3969890.0,127.25,125.36,127.41,125.36,
2017-03-02,126.33,3015215.0,126.33,125.82,127.35,126.76,
2017-03-03,126.21,1953415.0,126.21,125.71,126.63,126.29,
2017-03-06,126.08,3023018.0,126.08,125.02,126.56,125.11,
2017-03-07,126.26,2052846.0,126.26,125.58,126.4075,125.97,
2017-03-08,126.59,3120125.0,126.59,126.02,127.21,126.41,
2017-03-09,126.19,2479484.0,126.19,125.74,127.23,126.54,
2017-03-10,127.04,2686511.0,127.04,126.49,127.36,127.12,
2017-03-13,126.73,3118116.0,126.73,126.49,127.35,127.12,
2017-03-14,125.71,1978016.0,125.71,124.12,126.59,125.04,
2017-03-15,126.97,3601263.0,126.97,126.0,127.52,126.33,
2017-03-16,126.36,2742746.0,126.36,126.22,127.48,127.48,
2017-03-17,127.16,3839754.0,127.16,126.3,127.32,126.85,
2017-03-20,126.5,2030784.0,126.5,126.31,127.17,127.0,
2017-03-21,125.66,2364198.0,125.66,125.41,127.3,127.06,
2017-03-22,125.5,2101627.0,125.5,124.53,125.94,125.87,
2017-03-23,125.52,1770321.0,125.52,125.13,125.98,125.61,
2017-03-24,124.77,2222343.0,124.77,124.2828,126.03,125.59,
2017-03-27,124.5,3328324.0,124.5,123.05,124.83,123.77,
2017-03-28,125.28,1973829.0,125.28,123.54,125.8,124.21,
2017-03-29,125.3,1541348.0,125.3,124.77,125.48,124.96,
2017-03-30,125.41,1781085.0,125.41,124.99,125.723,125.13,
2017-03-31,124.87,2668599.0,124.87,124.7,125.55,125.11,
2017-04-03,124.33,2905336.0,124.33,123.29,125.23,124.73,
2017-04-04,124.18,1777676.0,124.18,123.85,124.74,124.47,
2017-04-05,123.57,2585632.0,123.57,123.5,125.1199,124.53,
2017-04-06,123.83,2076723.0,123.83,123.34,124.33,123.74,
2017-04-07,124.27,1863748.0,124.27,123.59,124.47,123.97,
2017-04-10,124.46,2268070.0,124.46,124.23,125.17,124.26,
2017-04-11,124.54,1907241.0,124.54,123.61,124.79,124.43,
2017-04-12,123.15,2720524.0,123.15,122.97,124.76,124.66,
2017-04-13,122.5,1677698.0,122.5,122.49,123.48,122.93,
2017-04-17,123.43,1857408.0,123.43,122.402,123.43,123.0,
2017-04-18,123.08,1666135.0,123.08,122.69,123.69,123.2,
2017-04-19,122.74,1839833.0,122.74,122.64,123.8,123.8,
2017-04-20,123.77,3977938.0,123.77,123.03,124.6,123.45,
2017-04-21,127.08,6281886.0,127.08,126.1,128.3,127.08,
2017-04-24,129.79,5641035.0,129.79,128.35,130.74,128.35,
