YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,104.86,2128273.0,104.86,103.57,106.1,105.23,
2017-01-04,106.14,2071654.0,106.14,105.155,106.515,105.32,
2017-01-05,104.55,1720377.0,104.55,103.45,106.16,105.52,
2017-01-06,105.15,1983879.0,105.15,104.75,105.97,105.18,
2017-01-09,104.74,1858410.0,104.74,103.93,105.5,104.47,
2017-01-10,105.57,1491576.0,105.57,104.89,106.59,105.0,
2017-01-11,106.49,1990710.0,106.49,105.31,107.09,105.72,
2017-01-12,104.22,2302621.0,104.22,103.05,105.91,105.62,
2017-01-13,105.23,1380332.0,105.23,104.54,106.46,105.13,
2017-01-17,103.92,2760414.0,103.92,103.53,104.98,103.99,
2017-01-18,105.59,2524963.0,105.59,103.64,105.65,104.74,
2017-01-19,104.76,2078284.0,104.76,103.89,106.03,105.98,
2017-01-20,105.59,1673141.0,105.59,104.89,106.054,105.27,
2017-01-23,104.49,1292112.0,104.49,104.1,105.51,105.1,
2017-01-24,105.69,1294909.0,105.69,105.04,106.44,105.07,
2017-01-25,107.36,2176265.0,107.36,106.34,107.5,106.69,
2017-01-26,107.34,2105178.0,107.34,106.85,108.06,107.33,
2017-01-27,106.59,995369.0,106.59,106.26,107.157,106.8,
2017-01-30,105.57,2425651.0,105.57,104.01,106.2,106.07,
2017-01-31,105.11,1573609.0,105.11,104.16,106.28,105.46,
2017-02-01,105.56,1579457.0,105.56,104.6,107.06,106.13,
2017-02-02,104.43,1553505.0,104.43,103.41,105.63,104.43,
2017-02-03,106.33,2060512.0,106.33,105.34,106.88,106.17,
2017-02-06,106.11,1191361.0,106.11,105.35,106.65,105.42,
2017-02-07,106.59,1599156.0,106.59,105.73,106.99,106.75,
2017-02-08,105.22,2305752.0,105.22,104.45,105.9,105.89,
2017-02-09,108.39,2421086.0,108.39,105.8,108.95,107.3,
2017-02-10,108.75,2707760.0,108.75,108.08,109.15,108.59,
2017-02-13,109.8,2189307.0,109.8,108.77,110.58,108.83,
2017-02-14,110.45,2724738.0,110.45,109.29,110.99,109.29,
2017-02-15,111.79,2652202.0,111.79,109.89,111.98,110.77,
2017-02-16,112.11,2302048.0,112.11,111.18,112.28,111.4,
2017-02-17,111.11,2518715.0,111.11,109.91,111.11,110.28,
2017-02-21,111.22,1905654.0,111.22,111.04,112.39,111.97,
2017-02-22,110.5,2184768.0,110.5,110.05,110.98,110.22,
2017-02-23,110.86,1552419.0,110.86,110.12,110.99,110.73,
2017-02-24,109.96,1388947.0,109.96,108.9,109.999,109.64,
2017-02-27,110.95,1398918.0,110.95,110.058,111.0643,110.06,
2017-02-28,110.54,1721678.0,110.54,109.75,110.78,110.14,
2017-03-01,113.82,2602295.0,113.82,112.61,114.55,112.72,
2017-03-02,111.8,2024011.0,111.8,111.65,113.99,113.89,
2017-03-03,112.56,1433976.0,112.56,111.8,113.12,112.11,
2017-03-06,111.77,1770036.0,111.77,111.26,112.17,111.5,
2017-03-07,111.24,1890258.0,111.24,110.93,111.75,111.56,
2017-03-08,111.09,1748819.0,111.09,110.96,112.695,112.35,
2017-03-09,110.99,1486851.0,110.99,110.541,111.7212,111.46,
2017-03-10,111.06,1872692.0,111.06,110.19,111.82,111.45,
2017-03-13,111.61,1245016.0,111.61,110.94,111.86,111.19,
2017-03-14,111.07,1285943.0,111.07,110.25,111.24,111.24,
2017-03-15,111.39,2223034.0,111.39,110.88,112.03,111.34,
2017-03-16,111.62,1878703.0,111.62,111.0225,112.27,111.6,
2017-03-17,109.92,2539562.0,109.92,109.85,111.62,111.5,
2017-03-20,109.12,1797505.0,109.12,109.0,109.725,109.64,
2017-03-21,105.84,2713149.0,105.84,105.55,110.0,109.98,
2017-03-22,105.42,1693603.0,105.42,103.45,106.15,105.25,
2017-03-23,105.5,1910126.0,105.5,104.98,107.03,105.45,
2017-03-24,105.44,1725039.0,105.44,104.8201,106.8501,106.01,
2017-03-27,104.5,2626428.0,104.5,102.01,104.79,102.64,
2017-03-28,105.8,3699815.0,105.8,104.03,106.35,104.13,
2017-03-29,105.16,2085364.0,105.16,104.7,105.9699,105.48,
2017-03-30,107.3,1995590.0,107.3,105.25,107.54,105.3,
2017-03-31,106.68,1890067.0,106.68,106.61,107.5,106.72,
2017-04-03,106.44,1854812.0,106.44,104.7,107.3,106.88,
2017-04-04,106.19,1650383.0,106.19,105.84,106.73,105.84,
2017-04-05,105.48,1709360.0,105.48,105.3,107.67,107.26,
2017-04-06,106.29,2403627.0,106.29,104.84,106.65,105.4,
2017-04-07,105.86,1943780.0,105.86,104.71,106.49,105.3,
2017-04-10,105.73,1108780.0,105.73,105.24,106.67,105.88,
2017-04-11,105.4,2133979.0,105.4,104.35,105.79,105.06,
2017-04-12,103.84,1779717.0,103.84,103.57,105.71,105.71,
2017-04-13,102.92,1509173.0,102.92,102.62,104.44,103.14,
2017-04-17,104.3,1429221.0,104.3,102.7,104.48,103.0,
2017-04-18,103.57,2306797.0,103.57,103.14,104.58,103.45,
2017-04-19,104.17,1855055.0,104.17,103.86,105.1,104.83,
2017-04-20,105.84,1963775.0,105.84,104.449,106.25,105.0,
2017-04-21,105.65,2134980.0,105.65,105.505,106.48,105.63,
2017-04-24,107.87,1689191.0,107.87,107.69,108.84,108.25,
2017-04-25,107.89,2666550.0,107.89,107.85,109.34,108.9,
2017-04-26,107.2,1811261.0,107.2,107.13,108.5,107.99,
2017-04-27,107.08,1478517.0,107.08,106.21,107.51,107.51,
2017-04-28,107.03,1395004.0,107.03,106.91,107.68,107.12,
2017-05-01,107.46,1413479.0,107.46,106.92,107.79,107.64,
2017-05-02,107.56,1512418.0,107.56,107.0,107.71,107.51,
2017-05-03,108.48,2082496.0,108.48,107.0,108.78,107.06,
2017-05-04,109.13,2464224.0,109.13,108.84,111.57,110.0,
2017-05-05,108.73,1679966.0,108.73,108.36,109.81,109.6,
2017-05-08,108.26,2122678.0,108.26,107.79,108.61,108.46,
2017-05-09,107.88,1456150.0,107.88,107.62,108.74,108.49,
2017-05-10,108.46,1574955.0,108.46,107.01,108.705,107.52,
2017-05-11,107.79,1720100.0,107.79,106.55,108.475,108.04,
2017-05-12,106.21,2247280.0,106.21,105.83,107.39,107.09,
2017-05-15,107.44,1884543.0,107.44,106.21,107.64,106.66,
2017-05-16,107.8,1557865.0,107.8,107.08,107.89,107.5,
2017-05-17,103.42,2040076.0,103.42,103.09,106.33,105.77,
2017-05-18,103.45,3823275.0,103.45,102.75,104.29,103.42,
2017-05-19,103.99,2447656.0,103.99,103.08,104.61,103.35,
2017-05-22,104.27,1222272.0,104.27,103.5,104.65,104.38,
2017-05-23,105.15,1526230.0,105.15,104.12,105.49,104.26,
2017-05-24,104.96,1420042.0,104.96,104.54,105.59,105.59,
2017-05-25,106.02,1009234.0,106.02,105.06,106.2,105.31,
2017-05-26,105.07,1668008.0,105.07,104.92,106.01,105.61,
2017-05-30,104.86,1069137.0,104.86,104.28,105.0,104.62,
2017-05-31,104.85,1890834.0,104.85,103.395,105.02,105.0,
2017-06-01,106.7,2031543.0,106.7,104.56,106.72,105.59,
2017-06-02,106.42,1899358.0,106.42,105.35,106.95,105.63,
2017-06-05,105.57,1329698.0,105.57,105.54,106.66,106.31,
2017-06-06,103.2,2070351.0,103.2,102.92,104.68,104.5,
2017-06-07,103.55,1766112.0,103.55,102.03,103.86,103.25,
2017-06-08,105.41,2339504.0,105.41,103.59,106.36,103.69,
2017-06-09,107.75,2032756.0,107.75,106.02,107.92,106.13,
2017-06-12,108.36,2088681.0,108.36,107.13,108.905,107.8,
2017-06-13,108.05,5447749.0,108.05,107.8,109.05,108.79,
2017-06-14,108.1,2215899.0,108.1,105.76,108.305,107.11,
2017-06-15,108.28,1699013.0,108.28,106.94,108.47,107.28,
2017-06-16,107.71,2290338.0,107.71,107.625,108.67,108.59,
2017-06-19,108.48,1170329.0,108.48,108.13,108.88,108.47,
2017-06-20,107.43,1035164.0,107.43,107.3268,108.34,108.0,
2017-06-21,104.89,2096034.0,104.89,104.59,107.63,107.62,
2017-06-22,103.31,1925509.0,103.31,103.15,104.59,104.59,
2017-06-23,103.36,2599220.0,103.36,102.96,103.94,103.61,
2017-06-26,103.67,2149314.0,103.67,102.49,104.64,103.94,
2017-06-27,104.6,1678031.0,104.6,103.7,106.04,104.01,
2017-06-28,107.26,2271035.0,107.26,105.62,107.48,105.62,
2017-06-29,108.38,2923584.0,108.38,107.29,109.75,109.0,
2017-06-30,108.14,2152801.0,108.14,108.06,109.37,109.12,
2017-07-03,110.18,1923259.0,110.18,109.04,111.38,109.04,
2017-07-05,110.22,2026144.0,110.22,109.51,110.57,110.42,
2017-07-06,110.8,3178459.0,110.8,110.0,112.72,110.39,
2017-07-07,111.36,1935848.0,111.36,110.26,111.67,111.26,
2017-07-10,111.34,1205245.0,111.34,111.01,111.82,111.08,
2017-07-11,110.65,1064199.0,110.65,110.34,111.6,111.46,
2017-07-12,111.21,1382200.0,111.21,110.17,111.28,110.56,
2017-07-13,111.93,1193479.0,111.93,111.04,112.1409,111.28,
2017-07-14,111.41,1363908.0,111.41,109.91,111.83,110.55,
2017-07-17,111.28,985432.0,111.28,110.45,111.62,111.28,
2017-07-18,110.6,1437038.0,110.6,110.02,111.23,110.45,
2017-07-19,111.3,1451696.0,111.3,110.21,111.71,110.36,
2017-07-20,111.06,1339552.0,111.06,110.825,111.96,111.6,
2017-07-21,111.74,1357843.0,111.74,110.6,111.83,110.9,
2017-07-24,112.13,1059865.0,112.13,111.43,112.38,111.58,
2017-07-25,113.52,1002566.0,113.52,113.2,114.1,113.66,
2017-07-26,112.19,1019334.0,112.19,111.89,113.88,113.62,
2017-07-27,112.74,1015352.0,112.74,112.04,113.31,112.4,
2017-07-28,113.2,956086.0,113.2,112.09,113.35,112.77,
2017-07-31,113.23,1248548.0,113.23,113.16,113.9,113.64,
2017-08-01,114.4,1551588.0,114.4,113.03,114.41,113.95,
2017-08-02,115.23,1984094.0,115.23,113.45,115.26,113.88,
2017-08-03,110.27,4092780.0,110.27,109.9,113.43,111.5,
2017-08-04,112.49,2088224.0,112.49,111.11,113.28,111.53,
2017-08-07,111.69,1372979.0,111.69,111.57,112.515,112.18,
2017-08-08,111.48,1337115.0,111.48,111.32,113.17,111.46,
2017-08-09,109.94,2242410.0,109.94,109.28,110.69,110.49,
2017-08-10,106.06,2665030.0,106.06,105.96,109.3,109.0,
2017-08-11,105.69,2239384.0,105.69,105.13,106.74,105.78,
